asset_id,business_field_id,relation_type,confidence,description
A_055,BF_086,OPERATES,0.95,AI GPU 팹리스 설계
A_056,BF_086,OPERATES,0.93,CPU/GPU 팹리스 설계
A_329,BF_086,OPERATES,0.90,모바일 SoC 설계
A_330,BF_086,OPERATES,0.88,ASIC/네트워크 칩 설계
A_331,BF_086,OPERATES,0.88,모바일 칩 설계
A_344,BF_091,OPERATES,0.95,EDA 소프트웨어
A_237,BF_091,OPERATES,0.95,EDA 소프트웨어
A_338,BF_087,OPERATES,0.98,EUV 노광장비
A_339,BF_087,OPERATES,0.90,증착 장비
A_340,BF_087,OPERATES,0.92,전공정 장비
A_341,BF_087,OPERATES,0.92,식각 장비
A_342,BF_087,OPERATES,0.92,계측/검사 장비
A_333,BF_087,OPERATES,0.80,전공정 장비/부품
A_343,BF_088,OPERATES,0.90,반도체 테스트 장비
A_334,BF_089,OPERATES,0.92,패키징/테스트
A_337,BF_089,OPERATES,0.85,패키징 (비상장)
A_335,BF_089,OPERATES,0.88,PCB/기판
A_336,BF_089,OPERATES,0.85,PCB/기판
A_345,BF_090,OPERATES,0.90,반도체 소재/필터
A_346,BF_090,OPERATES,0.88,포토레지스트 소재 (비상장)
A_347,BF_090,OPERATES,0.92,웨이퍼
A_348,BF_090,OPERATES,0.85,화학 소재
