macro_id,theme_id,relation_type,confidence,description
M_036,T_073,IMPACTS,0.85,여행수요회복이항공유및원유수요를자극
M_037,T_073,IMPACTS,0.95,유가하락은원유테마약세요인
M_059,T_073,IMPACTS,0.95,유가상승은원유테마강세요인
M_061,T_073,IMPACTS,0.9,러우전쟁이원유공급불안과가격변동성을확대
M_064,T_073,IMPACTS,0.95,에너지수급불균형이유가방향을결정
M_075,T_073,IMPACTS,0.95,OPEC감산정책이공급축소를유도
M_076,T_073,IMPACTS,0.9,해상운송리스크가공급차질우려를확대
M_077,T_073,IMPACTS,0.9,중국전략비축확대가원유수요를증가
M_078,T_073,IMPACTS,0.85,셰일오일투자감소가미국공급증가를제한
M_079,T_073,IMPACTS,0.85,재생에너지지연이화석연료의존을연장
M_080,T_073,IMPACTS,0.85,항공수요증가가항공유및원유수요를확대
M_081,T_073,IMPACTS,0.9,제재가원유공급망을교란
M_082,T_073,IMPACTS,0.95,중동전쟁이중동원유공급불안과유가급등가능성을확대
