asset_id,theme_id,relation_type,confidence,description
A_039,T_004,THEMED_AS,0.95,AI공포국면에서도수요유지가능한검색분석플랫폼
A_040,T_004,THEMED_AS,0.95,AI시대에도필수인개발자중심데이터베이스플랫폼
A_041,T_004,THEMED_AS,0.90,AI도입확산으로마케팅자동화수요확대
A_042,T_004,THEMED_AS,0.90,기업핵심업무시스템으로AI대체보다보완효과
A_043,T_004,THEMED_AS,0.90,설계자동화영역에서AI가도구로내재화
A_044,T_004,THEMED_AS,0.92,IT서비스운영자동화로AI적용이수요를강화
A_045,T_004,THEMED_AS,0.90,금융세무업무자동화로AI가가치제고
A_046,T_004,THEMED_AS,0.90,CRM업무에서AI가사용을증가시키는방향
A_047,T_004,THEMED_AS,0.90,크리에이티브도구로AI내장확산에따른수혜
A_048,T_004,THEMED_AS,0.88,AI광고최적화수요확대로플랫폼가치상승
